Fecha;ID;NOME;CASOS_14_DIAS;NIVEL_14_DIAS;CASOS_7_DIAS;NIVEL_7_DIAS
10-03-2021;34121515001;0;ABEGONDO;5;Incidencia acumulada para o concello: <=25;5
10-03-2021;34121515002;0;AMES;Número de novos casos diagnosticados no concello: 32;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 17
10-03-2021;34121515003;0;ARANGA;5;Incidencia acumulada para o concello: >150 e <=250;0
10-03-2021;34121515004;0;ARES;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515005;0;ARTEIXO;Número de novos casos diagnosticados no concello: 78;Incidencia acumulada para o concello: >150 e <=250;Número de novos casos diagnosticados no concello: 44
10-03-2021;34121515006;0;ARZUA;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515007;0;BAÑA (A);0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515008;0;BERGONDO;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515009;0;BETANZOS;Número de novos casos diagnosticados no concello: 12;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515010;0;BOIMORTO;5;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515011;0;BOIRO;5;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515012;0;BOQUEIXON;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515013;0;BRION;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515014;0;CABANA DE BERGANTIÑOS;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515015;0;CABANAS;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515016;0;CAMARIÑAS;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515017;0;CAMBRE;Número de novos casos diagnosticados no concello: 23;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515018;0;CAPELA (A);0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515019;0;CARBALLO;Número de novos casos diagnosticados no concello: 22;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515020;0;CARNOTA;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515021;0;CARRAL;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515022;0;CEDEIRA;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515023;0;CEE;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515024;0;CERCEDA;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515025;0;CERDIDO;5;Incidencia acumulada para o concello: >50 e <=150;0
10-03-2021;34121515027;0;COIROS;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515028;0;CORCUBION;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515029;0;CORISTANCO;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515030;0;CORUÑA (A);Número de novos casos diagnosticados no concello: 531;Incidencia acumulada para o concello: >150 e <=250;Número de novos casos diagnosticados no concello: 269
10-03-2021;34121515031;0;CULLEREDO;Número de novos casos diagnosticados no concello: 44;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 16
10-03-2021;34121515032;0;CURTIS;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515033;0;DODRO;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515034;0;DUMBRIA;5;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515035;0;FENE;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515036;0;FERROL;Número de novos casos diagnosticados no concello: 56;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 35
10-03-2021;34121515037;0;FISTERRA;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515038;0;FRADES;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515039;0;IRIXOA;5;Incidencia acumulada para o concello: >50 e <=150;0
10-03-2021;34121515040;0;LAXE;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515041;0;LARACHA;Número de novos casos diagnosticados no concello: 24;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515042;0;LOUSAME;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515043;0;MALPICA DE BERGANTIÑOS;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515044;0;MAÑON;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515045;0;MAZARICOS;5;Incidencia acumulada para o concello: >25 e <=50;0
10-03-2021;34121515046;0;MELIDE;5;Incidencia acumulada para o concello: >25 e <=50;0
10-03-2021;34121515047;0;MESIA;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515048;0;MIÑO;Número de novos casos diagnosticados no concello: 18;Incidencia acumulada para o concello: >250 e <=500;5
10-03-2021;34121515049;0;MOECHE;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515050;0;MONFERO;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515051;0;MUGARDOS;Número de novos casos diagnosticados no concello: 11;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515052;0;MUXIA;5;Incidencia acumulada para o concello: <=25;5
10-03-2021;34121515053;0;MUROS;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515054;0;NARON;Número de novos casos diagnosticados no concello: 29;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 19
10-03-2021;34121515055;0;NEDA;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515056;0;NEGREIRA;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515057;0;NOIA;5;Incidencia acumulada para o concello: <=25;5
10-03-2021;34121515058;0;OLEIROS;Número de novos casos diagnosticados no concello: 40;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 17
10-03-2021;34121515059;0;ORDES;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515060;0;OROSO;5;Incidencia acumulada para o concello: >25 e <=50;0
10-03-2021;34121515061;0;ORTIGUEIRA;5;Incidencia acumulada para o concello: >25 e <=50;0
10-03-2021;34121515062;0;OUTES;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515064;0;PADERNE;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515065;0;PADRON;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515066;0;PINO (O);5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515067;0;POBRA DO CARAMIÑAL A;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515068;0;PONTECESO;Número de novos casos diagnosticados no concello: 13;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515069;0;PONTEDEUME;Número de novos casos diagnosticados no concello: 12;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515070;0;PONTES DE GARCIA RODRIGUEZ (AS);Número de novos casos diagnosticados no concello: 15;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515071;0;PORTO DO SON;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515072;0;RIANXO;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515073;0;RIBEIRA;Número de novos casos diagnosticados no concello: 11;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515074;0;ROIS;5;Incidencia acumulada para o concello: >25 e <=50;5
10-03-2021;34121515075;0;SADA;Número de novos casos diagnosticados no concello: 17;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515076;0;SAN SADURNIÑO;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515077;0;SANTA COMBA;5;Incidencia acumulada para o concello: >25 e <=50;0
10-03-2021;34121515078;0;SANTIAGO DE COMPOSTELA;Número de novos casos diagnosticados no concello: 58;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 26
10-03-2021;34121515079;0;SANTISO;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515080;0;SOBRADO;5;Incidencia acumulada para o concello: >250 e <=500;5
10-03-2021;34121515081;0;SOMOZAS;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515082;0;TEO;Número de novos casos diagnosticados no concello: 16;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515083;0;TOQUES;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515084;0;TORDOIA;5;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515085;0;TOURO;5;Incidencia acumulada para o concello: >50 e <=150;5
10-03-2021;34121515086;0;TRAZO;5;Incidencia acumulada para o concello: >50 e <=150;0
10-03-2021;34121515087;0;VALDOVIÑO;Número de novos casos diagnosticados no concello: 12;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515088;0;VAL DO DUBRA;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515089;0;VEDRA;5;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515090;0;VILASANTAR;5;Incidencia acumulada para o concello: >150 e <=250;5
10-03-2021;34121515091;0;VILARMAIOR;0;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515092;0;VIMIANZO;5;Incidencia acumulada para o concello: <=25;0
10-03-2021;34121515093;0;ZAS;5;Incidencia acumulada para o concello: >25 e <=50;5
