15-07-2021;34121515001;ABEGONDO;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515002;AMES;Número de novos casos diagnosticados no concello: 43;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 25;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515003;ARANGA;0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515004;ARES;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515005;ARTEIXO;Número de novos casos diagnosticados no concello: 66;Incidencia acumulada para o concello: >150 e <=250;Número de novos casos diagnosticados no concello: 37;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515006;ARZUA;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515007;BAÑA (A);5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515008;BERGONDO;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515009;BETANZOS;Número de novos casos diagnosticados no concello: 26;Incidencia acumulada para o concello: >150 e <=250;Número de novos casos diagnosticados no concello: 17;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515010;BOIMORTO;0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515011;BOIRO;Número de novos casos diagnosticados no concello: 154;Incidencia acumulada para o concello: >500;Número de novos casos diagnosticados no concello: 133;Incidencia acumulada para o concello: >250
15-07-2021;34121515012;BOQUEIXON;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515013;BRION;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515014;CABANA DE BERGANTIÑOS;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515015;CABANAS;5;Incidencia acumulada para o concello: >25 e <=50;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515016;CAMARIÑAS;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515017;CAMBRE;Número de novos casos diagnosticados no concello: 53;Incidencia acumulada para o concello: >150 e <=250;Número de novos casos diagnosticados no concello: 41;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515018;CAPELA (A);0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515019;CARBALLO;Número de novos casos diagnosticados no concello: 81;Incidencia acumulada para o concello: >250 e <=500;Número de novos casos diagnosticados no concello: 57;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515020;CARNOTA;5;Incidencia acumulada para o concello: >25 e <=50;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515021;CARRAL;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515022;CEDEIRA;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >10 e <=25
15-07-2021;34121515023;CEE;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515024;CERCEDA;0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515025;CERDIDO;0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515027;COIROS;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515028;CORCUBION;5;Incidencia acumulada para o concello: >50 e <=150;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515029;CORISTANCO;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515030;CORUÑA (A);Número de novos casos diagnosticados no concello: 576;Incidencia acumulada para o concello: >150 e <=250;Número de novos casos diagnosticados no concello: 386;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515031;CULLEREDO;Número de novos casos diagnosticados no concello: 83;Incidencia acumulada para o concello: >250 e <=500;Número de novos casos diagnosticados no concello: 55;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515032;CURTIS;Número de novos casos diagnosticados no concello: 12;Incidencia acumulada para o concello: >250 e <=500;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515033;DODRO;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515034;DUMBRIA;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515035;FENE;Número de novos casos diagnosticados no concello: 18;Incidencia acumulada para o concello: >50 e <=150;Número de novos casos diagnosticados no concello: 12;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515036;FERROL;Número de novos casos diagnosticados no concello: 172;Incidencia acumulada para o concello: >250 e <=500;Número de novos casos diagnosticados no concello: 127;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515037;FISTERRA;Número de novos casos diagnosticados no concello: 12;Incidencia acumulada para o concello: >250 e <=500;Número de novos casos diagnosticados no concello: 10;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515038;FRADES;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515039;IRIXOA;0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
15-07-2021;34121515040;LAXE;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515041;LARACHA;Número de novos casos diagnosticados no concello: 30;Incidencia acumulada para o concello: >250 e <=500;Número de novos casos diagnosticados no concello: 16;Incidencia acumulada para o concello: >125 e <=250
15-07-2021;34121515042;LOUSAME;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >25 e <=75
15-07-2021;34121515043;MALPICA DE BERGANTIÑOS;5;Incidencia acumulada para o concello: >25 e <=50;5;Incidencia acumulada para o concello: >10 e <=25
15-07-2021;34121515044;MAÑON;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515045;MAZARICOS;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515046;MELIDE;5;Incidencia acumulada para o concello: >50 e <=150;5;Incidencia acumulada para o concello: >75 e <=125
15-07-2021;34121515047;MESIA;5;Incidencia acumulada para o concello: >25 e <=50;5;Incidencia acumulada para o concello: >25 e <=75
